full_text,word_idx,word,logprob
speaker: jumping off building with hands in the air,0,,0.0
speaker: jumping off building with hands in the air,1,peaker,-14.683879852294922
speaker: jumping off building with hands in the air,2, jumping off building with hands in the air,-40.1712659150362
speaker: like the a high heeled shoe tough one,0,,0.0
speaker: like the a high heeled shoe tough one,1,peaker,-14.683879852294922
speaker: like the a high heeled shoe tough one,2, like the a high he,-38.01564431190491
speaker: like the a high heeled shoe tough one,3,led shoe tough one,-19.931707799434662
speaker: no arms not legs like a necktie with the bottom turned slightly to the right,0,,0.0
speaker: no arms not legs like a necktie with the bottom turned slightly to the right,1,peaker,-14.683879852294922
speaker: no arms not legs like a necktie with the bottom turned slightly to the right,2, no arms not legs like a neck,-50.35725224018097
speaker: no arms not legs like a necktie with the bottom turned slightly to the right,3,ie with the bottom turned slightly to the right,-34.124350756406784
speaker: like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,0,,0.0
speaker: like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,1,peaker,-14.683879852294922
speaker: like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,2, like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,-99.0036148428917
"speaker: kneeling in gown with Bible in hand, facing to the right heel up in back",0,,0.0
"speaker: kneeling in gown with Bible in hand, facing to the right heel up in back",1,peaker,-14.683879852294922
"speaker: kneeling in gown with Bible in hand, facing to the right heel up in back",2, kneeling in gown with Bible in hand,-41.49797785282135
"speaker: kneeling in gown with Bible in hand, facing to the right heel up in back",3, facing to the right heel up in back,-38.965637266635895
"speaker: Starting to stand after kneeling facing right, Bible still in hand",0,,0.0
"speaker: Starting to stand after kneeling facing right, Bible still in hand",1,peaker,-14.683879852294922
"speaker: Starting to stand after kneeling facing right, Bible still in hand",2, Starting to stand after kneeling facing right,-56.88432240486145
"speaker: Starting to stand after kneeling facing right, Bible still in hand",3, Bible still in hand,-20.82715803384781
"speaker: standing, but falling backward facing left right foot in the air arms out",0,,0.0
"speaker: standing, but falling backward facing left right foot in the air arms out",1,peaker,-14.683879852294922
"speaker: standing, but falling backward facing left right foot in the air arms out",2, standing,-14.43562912940979
"speaker: standing, but falling backward facing left right foot in the air arms out",3, but falling backward facing left right foot in the air arms out,-58.34700736403465
speaker: Priest standing up straight facing left reading from Bible,0,,0.0
speaker: Priest standing up straight facing left reading from Bible,1,peaker,-14.683879852294922
speaker: Priest standing up straight facing left reading from Bible,2, Priest standing up straight facing left reading from Bible,-57.08710980415344
speaker: Guy relaxing in the park facing left arms to side (not visible) knees up,0,,0.0
speaker: Guy relaxing in the park facing left arms to side (not visible) knees up,1,peaker,-14.683879852294922
speaker: Guy relaxing in the park facing left arms to side (not visible) knees up,2, Guy relaxing in the park facing left arms to side (,-68.98217141628265
speaker: Guy relaxing in the park facing left arms to side (not visible) knees up,3,ot visible,-8.074155807495117
speaker: Guy relaxing in the park facing left arms to side (not visible) knees up,4, knees up,-11.438784003257751
"speaker: standing, but falling forward left leg on ground right foot in air arms out to catch himself
face left",0,,0.0
"speaker: standing, but falling forward left leg on ground right foot in air arms out to catch himself
face left",1,peaker,-14.683879852294922
"speaker: standing, but falling forward left leg on ground right foot in air arms out to catch himself
face left",2, standing,-14.43562912940979
"speaker: standing, but falling forward left leg on ground right foot in air arms out to catch himself
face left",3," but falling forward left leg on ground right foot in air arms out to catch himself
",-70.89143002033234
"speaker: standing, but falling forward left leg on ground right foot in air arms out to catch himself
face left",4,ace left,-13.353742122650146
speaker: kid facing right sitting on butt knees up slightly wearing bunny ears,0,,0.0
speaker: kid facing right sitting on butt knees up slightly wearing bunny ears,1,peaker,-14.683879852294922
speaker: kid facing right sitting on butt knees up slightly wearing bunny ears,2, kid facing right sitting on butt knees up slightly wearing bunny ears,-77.25395995378494
"speaker: aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge
not the very edge",0,,0.0
"speaker: aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge
not the very edge",1,peaker,-14.683879852294922
"speaker: aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge
not the very edge",2, aa,-13.61018967628479
"speaker: aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge
not the very edge",3,gh,-9.09903621673584
"speaker: aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge
not the very edge",4,"! right half of a bowl or plant pot showing with a triangle on the top right edge
",-89.26798892021179
"speaker: aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge
not the very edge",5,ot the very edge,-23.312272310256958
speaker: Kneeling with bible facing to the right Heel up,0,,0.0
speaker: Kneeling with bible facing to the right Heel up,1,peaker,-14.683879852294922
speaker: Kneeling with bible facing to the right Heel up,2, K,-8.125815153121948
speaker: Kneeling with bible facing to the right Heel up,3,e,-7.121359825134277
speaker: Kneeling with bible facing to the right Heel up,4,ling with bible facing to the right He,-43.27363896369934
speaker: Kneeling with bible facing to the right Heel up,5,l up,-11.290497303009033
speaker: Standing up from kneeling Bible still in hand,0,,0.0
speaker: Standing up from kneeling Bible still in hand,1,peaker,-14.683879852294922
speaker: Standing up from kneeling Bible still in hand,2, Standing up from kneeling Bible still in hand,-52.5277224779129
speaker: Falling off building Arms in air,0,,0.0
speaker: Falling off building Arms in air,1,peaker,-14.683879852294922
speaker: Falling off building Arms in air,2, Falling off building Arms in air,-50.14124155044556
speaker: Priest standing with bible Facing to the left,0,,0.0
speaker: Priest standing with bible Facing to the left,1,peaker,-14.683879852294922
speaker: Priest standing with bible Facing to the left,2, Priest standing with bible Facing to the left,-51.44527053833008
speaker: Bunny ears,0,,0.0
speaker: Bunny ears,1,peaker,-14.692818641662598
speaker: Bunny ears,2, Bunny ears,-23.775015354156494
"speaker: Falling backwards, facing left, arms out",0,,0.0
"speaker: Falling backwards, facing left, arms out",1,peaker,-14.692818641662598
"speaker: Falling backwards, facing left, arms out",2, Falling backwards,-23.885347843170166
"speaker: Falling backwards, facing left, arms out",3, facing left,-14.983279705047607
"speaker: Falling backwards, facing left, arms out",4, arms out,-7.397729754447937
speaker: Half a pot with triangle on top,0,,0.0
speaker: Half a pot with triangle on top,1,peaker,-14.692818641662598
speaker: Half a pot with triangle on top,2, Half a pot with triangle on top,-46.02558505535126
speaker: no arms or legs,0,,0.0
speaker: no arms or legs,1,peaker,-14.692818641662598
speaker: no arms or legs,2, no arms or legs,-25.40368941426277
"speaker: high heel shoe, facing left",0,,0.0
"speaker: high heel shoe, facing left",1,peaker,-14.692818641662598
"speaker: high heel shoe, facing left",2, high heel shoe,-24.57559871673584
"speaker: high heel shoe, facing left",3, facing left,-15.628047227859497
"speaker: baby looking up with arms out, bow on back of head",0,,0.0
"speaker: baby looking up with arms out, bow on back of head",1,peaker,-14.692818641662598
"speaker: baby looking up with arms out, bow on back of head",2, baby looking up with arms out,-34.55901515483856
"speaker: baby looking up with arms out, bow on back of head",3, bow on back of head,-25.1613906621933
"speaker: arms out in front, back leg up, facing left",0,,0.0
"speaker: arms out in front, back leg up, facing left",1,peaker,-14.692818641662598
"speaker: arms out in front, back leg up, facing left",2, arms out in front,-26.461969912052155
"speaker: arms out in front, back leg up, facing left",3, back leg up,-13.686721324920654
"speaker: arms out in front, back leg up, facing left",4, facing left,-9.949289083480835
"speaker: sitting down, facing left, no arms visible",0,,0.0
"speaker: sitting down, facing left, no arms visible",1,peaker,-14.692818641662598
"speaker: sitting down, facing left, no arms visible",2, sitting down,-18.59315323829651
"speaker: sitting down, facing left, no arms visible",3, facing left,-9.767700910568237
"speaker: sitting down, facing left, no arms visible",4, no arms visible,-15.893285632133484
speaker: No arms or legs upright,0,,0.0
speaker: No arms or legs upright,1,peaker,-14.692818641662598
speaker: No arms or legs upright,2, No arms or legs upright,-40.559436082839966
speaker: baby facing left sitting down bow in back of head,0,,0.0
speaker: baby facing left sitting down bow in back of head,1,peaker,-14.692818641662598
speaker: baby facing left sitting down bow in back of head,2, baby facing left sitting down bow in back of head,-60.94101917743683
speaker: guy falling forward and left one leg up in back,0,,0.0
speaker: guy falling forward and left one leg up in back,1,peaker,-14.692818641662598
speaker: guy falling forward and left one leg up in back,2, guy falling forward and left one leg up in back,-59.9057354927063
speaker: kid sitting with bunny ears,0,,0.0
speaker: kid sitting with bunny ears,1,peaker,-14.692818641662598
speaker: kid sitting with bunny ears,2, kid sitting with bunny ears,-37.66118621826172
speaker: starting to stand with Bible facing right,0,,0.0
speaker: starting to stand with Bible facing right,1,peaker,-14.692818641662598
speaker: starting to stand with Bible facing right,2, starting to stand with Bible facing right,-56.34353685379028
speaker: Priest standing facing left with Bible,0,,0.0
speaker: Priest standing facing left with Bible,1,peaker,-14.692818641662598
speaker: Priest standing facing left with Bible,2, Priest standing facing left with Bible,-41.199153423309326
speaker: guy relaxing in park facing left arms not visible,0,,0.0
speaker: guy relaxing in park facing left arms not visible,1,peaker,-14.692818641662598
speaker: guy relaxing in park facing left arms not visible,2, guy relaxing in park facing left arms not visible,-67.59738767147064
speaker: jumping off building to the left arms up,0,,0.0
speaker: jumping off building to the left arms up,1,peaker,-14.692818641662598
speaker: jumping off building to the left arms up,2, jumping off building to the left arms up,-53.45647215843201
speaker: kneeling to right with Bible,0,,0.0
speaker: kneeling to right with Bible,1,peaker,-14.692818641662598
speaker: kneeling to right with Bible,2, kneeling to right with Bible,-39.60211682319641
speaker: half a bowl or pot with a triangle on top,0,,0.0
speaker: half a bowl or pot with a triangle on top,1,peaker,-14.692818641662598
speaker: half a bowl or pot with a triangle on top,2, half a bowl or pot with a triangle on top,-53.46802020072937
speaker: high heel shoe,0,,0.0
speaker: high heel shoe,1,peaker,-14.692818641662598
speaker: high heel shoe,2, high heel shoe,-24.57559871673584
speaker: facing left one leg up arms up falling backward,0,,0.0
speaker: facing left one leg up arms up falling backward,1,peaker,-14.692818641662598
speaker: facing left one leg up arms up falling backward,2, facing left one leg up arms up falling backward,-60.5996618270874
"speaker: guy sitting in park, no arms visible, facing left",0,,0.0
"speaker: guy sitting in park, no arms visible, facing left",1,peaker,-14.692818641662598
"speaker: guy sitting in park, no arms visible, facing left",2, guy sitting in park,-30.552170276641846
"speaker: guy sitting in park, no arms visible, facing left",3, no arms visible,-20.47550678253174
"speaker: guy sitting in park, no arms visible, facing left",4, facing left,-9.475360751152039
speaker: high heel shoe,0,,0.0
speaker: high heel shoe,1,peaker,-14.692818641662598
speaker: high heel shoe,2, high heel shoe,-24.57559871673584
"speaker: baby looking up, bow in back of head",0,,0.0
"speaker: baby looking up, bow in back of head",1,peaker,-14.692818641662598
"speaker: baby looking up, bow in back of head",2, baby looking up,-25.883649110794067
"speaker: baby looking up, bow in back of head",3, bow in back of head,-23.535524487495422
speaker: bunny ears,0,,0.0
speaker: bunny ears,1,peaker,-14.692818641662598
speaker: bunny ears,2, bunny ears,-22.12499475479126
"speaker: guy falling backward, arms out in front
out*",0,,0.0
"speaker: guy falling backward, arms out in front
out*",1,peaker,-14.692818641662598
"speaker: guy falling backward, arms out in front
out*",2, guy falling backward,-31.15217685699463
"speaker: guy falling backward, arms out in front
out*",3," arms out in front
",-16.862412691116333
"speaker: guy falling backward, arms out in front
out*",4,ut,-8.84261703491211
"speaker: priest kneeling with Bible, heel up",0,,0.0
"speaker: priest kneeling with Bible, heel up",1,peaker,-14.692818641662598
"speaker: priest kneeling with Bible, heel up",2, priest kneeling with Bible,-33.85685658454895
"speaker: priest kneeling with Bible, heel up",3, heel up,-20.249102354049683
speaker: half a pot with triangle on top,0,,0.0
speaker: half a pot with triangle on top,1,peaker,-14.692818641662598
