full_text,word_idx,word,logprob
speaker: jumping off building with hands in the air,0,,0.0
speaker: jumping off building with hands in the air,1,peaker,-12.005256652832031
speaker: jumping off building with hands in the air,2, jumping off building with hands in the air,-37.92937662266195
speaker: like the a high heeled shoe tough one,0,,0.0
speaker: like the a high heeled shoe tough one,1,peaker,-12.005256652832031
speaker: like the a high heeled shoe tough one,2, like the a high he,-38.528618931770325
speaker: like the a high heeled shoe tough one,3,led shoe tough one,-21.564003467559814
speaker: no arms not legs like a necktie with the bottom turned slightly to the right,0,,0.0
speaker: no arms not legs like a necktie with the bottom turned slightly to the right,1,peaker,-12.005256652832031
speaker: no arms not legs like a necktie with the bottom turned slightly to the right,2, no arms not legs like a neck,-50.12339448928833
speaker: no arms not legs like a necktie with the bottom turned slightly to the right,3,ie with the bottom turned slightly to the right,-29.394221007823944
speaker: like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,0,,0.0
speaker: like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,1,peaker,-12.005256652832031
speaker: like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,2, like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,-92.31851409375668
"speaker: kneeling in gown with Bible in hand, facing to the right heel up in back",0,,0.0
"speaker: kneeling in gown with Bible in hand, facing to the right heel up in back",1,peaker,-12.005256652832031
"speaker: kneeling in gown with Bible in hand, facing to the right heel up in back",2, kneeling in gown with Bible in hand,-47.73687696456909
"speaker: kneeling in gown with Bible in hand, facing to the right heel up in back",3, facing to the right heel up in back,-36.16350448131561
"speaker: Starting to stand after kneeling facing right, Bible still in hand",0,,0.0
"speaker: Starting to stand after kneeling facing right, Bible still in hand",1,peaker,-12.005256652832031
"speaker: Starting to stand after kneeling facing right, Bible still in hand",2, Starting to stand after kneeling facing right,-48.86602783203125
"speaker: Starting to stand after kneeling facing right, Bible still in hand",3, Bible still in hand,-22.118560791015625
"speaker: standing, but falling backward facing left right foot in the air arms out",0,,0.0
"speaker: standing, but falling backward facing left right foot in the air arms out",1,peaker,-12.005256652832031
"speaker: standing, but falling backward facing left right foot in the air arms out",2, standing,-13.77167797088623
"speaker: standing, but falling backward facing left right foot in the air arms out",3, but falling backward facing left right foot in the air arms out,-51.78959132730961
speaker: Priest standing up straight facing left reading from Bible,0,,0.0
speaker: Priest standing up straight facing left reading from Bible,1,peaker,-12.005256652832031
speaker: Priest standing up straight facing left reading from Bible,2, Priest standing up straight facing left reading from Bible,-54.23910474777222
